quarter,market,operator_id,metric_id,value,basis_matches_dictionary,basis_note,source_type,source_url,source_page,entered_on,status
FY2024,HR,a1-hr,ebitdaal_margin,32.6,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,HR,a1-hr,ebitdaal_growth,7.0,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,HR,a1-hr,capex_intensity,13.5,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,HR,a1-hr,capex_intensity,13.9,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,HR,a1-hr,opfcf_margin,20.1,yes,derived: (EBITDAaL - capex)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,HR,a1-hr,opfcf_margin,18.8,yes,derived,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,HR,a1-hr,opex_proxy_margin,59.6,yes,derived: (revenue - EBITDA)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,HR,a1-hr,ebit_margin,18.4,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,HR,a1-hr,ebit_margin,17.5,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BY,a1-by,service_revenue_growth,13.1,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BY,a1-by,ebitdaal_margin,41.5,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BY,a1-by,ebitdaal_margin,41.4,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BY,a1-by,ebitdaal_growth,18.3,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BY,a1-by,capex_intensity,5.7,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BY,a1-by,capex_intensity,12.0,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BY,a1-by,opfcf_margin,35.8,yes,derived: (EBITDAaL - capex)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BY,a1-by,opfcf_margin,29.4,yes,derived,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BY,a1-by,opex_proxy_margin,56.4,yes,derived: (revenue - EBITDA)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BY,a1-by,ebit_margin,35.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BY,a1-by,ebit_margin,34.5,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,SI,a1-si,service_revenue_growth,1.1,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,SI,a1-si,ebitdaal_margin,7.3,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,SI,a1-si,ebitdaal_margin,8.7,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,SI,a1-si,ebitdaal_growth,-15.0,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,SI,a1-si,capex_intensity,9.0,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,SI,a1-si,capex_intensity,9.1,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,SI,a1-si,opfcf_margin,-1.7,yes,derived: (EBITDAaL - capex)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,SI,a1-si,opfcf_margin,-0.4,yes,derived,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,SI,a1-si,opex_proxy_margin,79.1,yes,derived: (revenue - EBITDA)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,SI,a1-si,ebit_margin,-7.7,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,SI,a1-si,ebit_margin,-6.1,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,RS,a1-rs,service_revenue_growth,5.5,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,RS,a1-rs,ebitdaal_margin,26.1,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,RS,a1-rs,ebitdaal_margin,26.4,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,RS,a1-rs,ebitdaal_growth,4.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,RS,a1-rs,capex_intensity,40.0,yes,RS 2025 includes EUR 100mn 5G spectrum - not ex-spectrum,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,RS,a1-rs,capex_intensity,8.3,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,RS,a1-rs,opfcf_margin,-14.0,yes,derived: (EBITDAaL - capex)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,RS,a1-rs,opfcf_margin,18.1,yes,derived,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,RS,a1-rs,opex_proxy_margin,64.0,yes,derived: (revenue - EBITDA)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,RS,a1-rs,ebit_margin,14.9,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,RS,a1-rs,ebit_margin,15.6,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,MK,a1-mk,service_revenue_growth,7.4,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,MK,a1-mk,ebitdaal_margin,27.5,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,MK,a1-mk,ebitdaal_margin,26.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,MK,a1-mk,ebitdaal_growth,11.4,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,MK,a1-mk,capex_intensity,11.2,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,MK,a1-mk,capex_intensity,12.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,MK,a1-mk,opfcf_margin,16.3,yes,derived: (EBITDAaL - capex)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,MK,a1-mk,opfcf_margin,14.0,yes,derived,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,MK,a1-mk,opex_proxy_margin,65.2,yes,derived: (revenue - EBITDA)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,MK,a1-mk,ebit_margin,15.7,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,MK,a1-mk,ebit_margin,14.6,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
9M2025,AT,magenta-at,ebitdaal_margin,39.4,no,"ADJUSTED EBITDA AL, 9 months not FY. A1 comparator must add back restructuring.",dt_interim_9m_2025,https://report.telekom.com/interim-report-q3-2025/management-report/development-of-business-in-the-operating-segments/europe.html,Europe / Austria,2026-09-09,REAL
9M2025,AT,magenta-at,service_revenue_growth,1.7,no,"total revenue growth, not service revenue - DT does not split Austria",dt_interim_9m_2025,https://report.telekom.com/interim-report-q3-2025/management-report/development-of-business-in-the-operating-segments/europe.html,Europe / Austria,2026-09-09,REAL
FY2025,HR,ht-hr,ebitdaal_margin,37.7,no,HT GROUP incl. Crnogorski Telekom (Montenegro) and HT Eronet (Bosnia) - NOT Croatia only. Use HT's Croatia segment before publishing. Adjusted basis.,ht_fy2025,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/rezultati/en/2025/q4/HT_Group_2025_Results_ENG.pdf,results release,2026-09-09,REAL
FY2024,HR,ht-hr,ebitdaal_margin,37.8,no,HT GROUP incl. Crnogorski Telekom (Montenegro) and HT Eronet (Bosnia) - NOT Croatia only. Use HT's Croatia segment before publishing. Adjusted basis.,ht_fy2025,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/rezultati/en/2025/q4/HT_Group_2025_Results_ENG.pdf,derived from growth rates,2026-09-09,REAL
FY2025,HR,ht-hr,ebitdaal_growth,3.3,no,HT GROUP incl. Crnogorski Telekom (Montenegro) and HT Eronet (Bosnia) - NOT Croatia only. Use HT's Croatia segment before publishing. Adjusted basis.,ht_fy2025,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/rezultati/en/2025/q4/HT_Group_2025_Results_ENG.pdf,results release,2026-09-09,REAL
FY2025,HR,ht-hr,capex_intensity,23.5,no,HT GROUP incl. Crnogorski Telekom (Montenegro) and HT Eronet (Bosnia) - NOT Croatia only. Use HT's Croatia segment before publishing. Adjusted basis. Capex AL.,ht_fy2025,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/rezultati/en/2025/q4/HT_Group_2025_Results_ENG.pdf,results release,2026-09-09,REAL
FY2025,HR,ht-hr,opfcf_margin,14.2,no,HT GROUP incl. Crnogorski Telekom (Montenegro) and HT Eronet (Bosnia) - NOT Croatia only. Use HT's Croatia segment before publishing. Adjusted basis. derived,ht_fy2025,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/rezultati/en/2025/q4/HT_Group_2025_Results_ENG.pdf,derived,2026-09-09,REAL
